Artist Name,Track Name,Popularity,Danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,class
Pathiena,The Deepest Of Sorrow,40,0.645,0.329,-17,1,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333e-05,4,0
The Offspring,Coming for You,59,0.508,0.912,-2,1,0.0827,9.75e-05,1.25e-06,0.0669,0.533,139.381,2.28587,4,10
Pain of Salvation,Meaningless,42,0.579,0.661,-5,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,2.87467,3,10
Black Sabbath,Paranoid,16,0.5,0.619,-12,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,2.80733333e-05,4,10
The Dark Element,Songs the Night Sings,47,0.5,0.854,-9,1,0.0431,4.62e-05,0.016,0.246,0.408,152.142,3.09827,4,8
Winger,Seventeen,60,0.577,0.676,-12,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,2.45267,4,8
Piers Faccini,Bring Down The Wall,28,0.5,0.387,-11,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,2.05533,4,10
Thirty Seconds To Mars,Dangerous Night,56,0.5,0.715,-7,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,1.99773,4,10
Peter Case,Bumble Bee,45,0.717,0.245,-11,0,0.0493,0.665,0.000119,0.385,0.502,83.554,2.14933,4,2
Menahan Street Band,Queens Highway,50,0.778,0.399,-9,1,0.0858,0.0751,0.835,0.103,0.321,137.305,0.6772,4,1
Butcher Babies,Sleeping with the Enemy,48,0.5,0.951,-6,0,0.0736,4.63e-05,0.233,0.351,0.461,165.088,2.12927,4,8
MICROCORPS,DOR,10,0.5,0.776,-12,0,0.0587,0.0518,0.703,0.11,0.609,177.953,3.31304,4,6
Sarah Palu,Ikivirta,38,0.617,0.375,-12,0,0.0319,0.742,0.513,0.109,0.117,151.983,3.87547,4,1
JADHU,Fling,32,0.62,0.835,-7,0,0.0319,0.273,0.00339,0.113,0.699,99.022,2.25072,4,9
Bring Me The Horizon,Parasite Eve,69,0.589,0.797,-6,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,2.91813,4,10
Toto Espinoza,Frida Kahlo,41,0.605,0.162,-13,0,0.0353,0.98,0.899,0.104,0.126,95.576,5.735216667e-05,3,7
Jimi Hendrix,Purple Haze,71,0.533,0.905,-6,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,2.84688333e-05,4,10
Lowest Creature,Reapers Fool,23,0.5,0.975,-5,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,2.02019,4,8
Scary Kids Scaring Kids,Holding On,49,0.5,0.935,-6,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,2.6124,4,10
Lawrence of Arcadia,David Keenan,30,0.524,0.336,-9,1,0.0415,0.841,0.00118,0.111,0.458,110.964,4.757883333e-05,5,0
Nirvana,In Bloom,65,0.5,0.876,-5,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,2.5508,4,1
Gwar,Sick of You,48,0.657,0.535,-10,1,0.047,0.000329,0.000492,0.318,0.738,132.257,1.8883,4,8
Blue Material,Blue Blood,37,0.621,0.602,-8,0,0.0279,0.000316,0.853,0.134,0.609,116.011,2.30152,4,6
Malcolm McLaren,Buffalo Gals,41,0.881,0.636,-14,0,0.156,0.0257,0.000257,0.207,0.616,108.863,2.59427,4,5
Arcade Fire,Ready to Start,58,0.5,0.932,-5,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,2.55893,4,10
Bad Nerves,Dreaming,32,0.5,0.958,-7,0,0.123,5.33e-06,0.000116,0.148,0.389,107.458,1.29373,4,6
3 Doors Down,Your Arms Feel Like home,37,0.548,0.709,-7,0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,2.24213,4,10
ARXX,Deep,33,0.65,0.6,-11,0,0.04,0.0278,0.00121,0.811,0.795,110.016,1.80203,4,10
The Undercover Dream Lovers,Get to You,42,0.761,0.707,-7,0,0.0356,0.68,0.421,0.0969,0.893,113.976,2.08421,4,6
A Scent Like Wolves,Telephone,39,0.553,0.939,-5,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,1.9884,4,8
Madhav Gopi Nair,Mukti,17,0.5,0.336,-12,1,0.0292,0.723,0.913,0.154,0.062,112.966,1.11765,5,6
Advaita,Ghir Ghir,33,0.601,0.728,-11,1,0.0436,0.378,0.726,0.368,0.862,137.99,5.09355e-05,3,0
John Campbell,Devil in My Closet,30,0.5,0.495,-12,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,3.606,4,2
Gymshorts,Gotta Get Away,23,0.5,0.843,-9,1,0.0439,0.000127,0.502,0.665,0.729,180.034,1.45932,4,1
Liz Phair,Fuck and Run,47,0.774,0.64,-8,1,0.0333,0.743,0.0316,0.088,0.947,136.226,1.87933,4,1
Post Malone,Motley Crew,90,0.797,0.631,-4,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,3.07021667e-05,4,9
Charlie Puth,Cheating on You,75,0.749,0.535,-7,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,1.96607,4,9
Ulver,Little Boy,33,0.5,0.41,-15,1,0.0423,0.00106,0.287,0.109,0.0612,91.127,3.2343,4,10
Alien Ant Farm,Smooth Criminal,75,0.653,0.964,-5,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,2.09267,4,9
Live,Selling The Drama,57,0.5,0.914,-7,1,0.0647,0.0106,8.18e-05,0.101,0.336,124.42,2.08293,4,10
Something Corporate,Punk Rock Princess,51,0.522,0.881,-6,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084,2.322,4,10
Enamour,Dragonfly,32,0.754,0.795,-10,0,0.0384,0.0186,0.906,0.0852,0.21,122.007,2.59606,4,9
mehro,chance with you,52,0.562,0.494,-9,0,0.0278,0.864,0.0259,0.153,0.383,144.104,2.15516,4,9
Rosie Flores,Simple Case of the Blues,38,0.65,0.63,-7,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,2.18747,4,2
Ayron Jones,Take Me Away,57,0.5,0.844,-5,0,0.0622,0.00012,0.111,0.221,0.554,156.136,2.46933,4,10
Dream Drop,Reckless Demon Youth,35,0.5,0.927,-6,0,0.123,0.000111,8.99e-06,0.193,0.414,183.998,1.8304,4,8
Die Apokalyptischen Reiter,Tiki,34,0.5,0.943,-6,1,0.129,0.0058,0.642,0.343,0.16,98.089,1.52252,4,8
Icon of Sin,Virtual Empire,33,0.5,0.958,-8,0,0.0511,0.0361,0.000226,0.387,0.313,145.055,3.52943,4,8
Spirit Adrift,Supernaut,32,0.5,0.925,-7,1,0.105,2.22e-05,0.0723,0.0973,0.313,118.066,2.82978,4,8
Morgan Evans,Love Is Real,58,0.645,0.732,-6,1,0.0453,0.00853,2.62e-05,0.198,0.708,95.02,2.716216667e-05,4,4
Wilco,Random Name Generator,39,0.621,0.962,-7,1,0.0454,0.282,0.126,0.132,0.653,143.99,2.29489,4,6
DIIV,Skin Game,43,0.5,0.754,-7,0,0.0383,0.00011,0.806,0.123,0.399,124.971,2.65467,4,10
The Swellers,The Best I Ever Had,49,0.5,0.983,-4,0,0.0864,9.09e-05,3.54e-05,0.335,0.486,193.042,2.3956,4,10
Emery,Walls,46,0.5,0.915,-6,0,0.167,0.0139,7.37e-05,0.161,0.419,169.161,2.03707,4,10
Foo Fighters,All My Life,73,0.577,0.604,-6,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,2.6344,4,10
Julia Jacklin,Pressure To Party,48,0.5,0.811,-4,1,0.0389,0.000125,4.08e-05,0.117,0.37,141.967,1.82307,4,6
No Somos Marineros,Los Bajos Fondos,33,0.5,0.603,-10,1,0.0386,0.348,0.878,0.0911,0.0907,179.392,1.73107,3,10
Amaranthe,Archangel,60,0.5,0.967,-8,1,0.0666,0.000316,0.00142,0.089,0.227,180.027,2.03373,4,8
Acollective,Happiest of All Memorial Days,37,0.5,0.51,-9,0,0.0298,0.348,0.57,0.0787,0.23,147.904,2.81093,4,6
No Memories of Tomorrow,Graeme James,8,0.579,0.304,-15,0,0.0301,0.751,0.0612,0.129,0.479,129.867,4.34655e-05,4,0
Apoorva Krishna,Tinky Winky,13,0.5,0.877,-5,1,0.0486,0.0849,0.392,0.0787,0.87,171.47,3.17784,4,6
Allegaeon,Concerto in Dm,35,0.556,0.969,-4,1,0.0402,0.000119,0.829,0.378,0.325,103.994,4.41035,4,8
Quami,Squeeze Me,17,0.694,0.907,-4,1,0.0458,0.0765,6.2e-05,0.13,0.573,114.98,2.906,4,5
Oasis,Whatever,56,0.5,0.913,-3,1,0.0388,0.0418,0.00839,0.257,0.34,91.157,3.82267,4,6
Ghost Iris,Coda,43,0.5,0.994,-3,0,0.113,2.05e-05,0.00683,0.333,0.218,90.015,2.43,4,8
Slowdive,Alison,60,0.5,0.449,-12,1,0.0375,0.00782,0.783,0.108,0.278,101.687,2.30987,4,6
Britney Spears,Liar,40,0.59,0.776,-6,0,0.0705,0.00705,1.69e-05,0.414,0.81,159.946,3.276883333e-05,4,9
Ruff Sqwad,Functions On the Low,37,0.737,0.649,-8,0,0.142,0.816,0.147,0.201,0.579,139.961,2.82067,4,5
Manal,Casa Con Diez Pinos,34,0.528,0.563,-7,1,0.041,0.706,0.0155,0.149,0.652,168.403,2.54467,3,2
The Black Keys,Little Black Submarines,67,0.5,0.466,-8,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,2.51267,4,10
Tomberlin,Wasted,55,0.765,0.563,-10,1,0.0397,0.422,0.122,0.142,0.703,93.073,1.49423,4,6
Wolfmother,Woman,60,0.5,0.948,-4,0,0.217,2.78e-05,0.0864,0.0945,0.215,150.753,1.75667,4,10
Beloved,Only Our Faces Hide,30,0.5,0.954,-5,1,0.0575,2e-05,0.223,0.309,0.176,172.944,2.32853,4,10
The Cult,She Sells Sanctuary,69,0.55,0.765,-9,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,2.52533,4,10
Carach Angren,Franckensteina Strataemontanus,39,0.57,0.916,-7,1,0.043,0.00439,0.138,0.135,0.359,100.041,1.83008,4,8
Damien,To The Moon,49,0.5,0.0412,-22,1,0.0444,0.995,0.96,0.107,0.127,100.74,1.71,4,5
Fleshkiller,Parallel Kingdom,20,0.5,0.977,-5,1,0.122,4.26e-06,0.532,0.414,0.256,130.009,2.66222,3,8
Julia Kent,Carapace,31,0.5,0.325,-15,0,0.0333,0.161,0.752,0.104,0.222,132.046,2.11216,4,1
Michael Chapman,The Man Who Hated Mornings,33,0.551,0.58,-9,1,0.0363,0.493,0.0559,0.213,0.473,63.321,2.47224,4,2
The Weeknd,Save Your Tears,93,0.68,0.826,-6,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,2.15627,4,9
Van Halen,Hot For Teacher,69,0.552,0.947,-5,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,2.82747,4,10
Rand Aldo,Desert Parade,42,0.5,0.109,-19,1,0.0371,0.882,0.937,0.0965,0.144,106.225,3.14015e-05,4,7
The Sounds,Painted By Numbers,47,0.5,0.807,-4,0,0.0332,0.0136,6.74e-05,0.109,0.731,145.179,2,4,10
Lower Than Atlantis,Had Enough,45,0.561,0.823,-5,1,0.097,0.0029,0.00017,0.492,0.525,93.504,2.0076,4,1
Kings of Leon,Echoing,58,0.5,0.778,-6,1,0.034,0.0147,0.227,0.102,0.24,147.882,2.17347,4,10
Shubha Mudgal,Awakning Main Sutti,1,0.5,0.659,-7,0,0.0352,0.00219,4.4e-05,0.146,0.309,81.611,6.236083333e-05,4,0
Zara Larsson,Morning,34,0.619,0.631,-7,1,0.104,0.131,1.18e-06,0.246,0.772,106.309,1.75305,4,9
Marilyn Manson,Third Day Of A Seven Day Binge,49,0.607,0.938,-4,1,0.0487,0.00228,0.000709,0.149,0.65,110.014,2.66702,4,8
ISLAND,Do You Remember The Times,28,0.572,0.949,-4,1,0.0362,0.14,7.44e-05,0.0705,0.607,138.013,2.2484,4,1
Don Henley,Sunset Grill,48,0.557,0.577,-13,1,0.027,0.0796,2.31e-05,0.0604,0.445,91.877,3.79,4,10
Ron Gallo,Kill the Medicine Man,32,0.5,0.823,-7,1,0.0655,0.0554,0.000215,0.154,0.284,90.471,1.53717,4,1
Thieves Like Us,Drugs in My Body,45,0.689,0.657,-11,0,0.0449,0.00843,0.459,0.15,0.802,116.872,2.166,4,6
Television,Venus,47,0.55,0.631,-12,1,0.0385,0.000898,0.18,0.0503,0.908,114.553,2.29027,4,1
The Foxies,Screws,38,0.576,0.829,-5,0,0.0593,0.00265,0.00515,0.304,0.652,167.99,1.65323,4,10
Type O Negative,Cinnamon Girl,45,0.5,0.913,-6,1,0.045,0.13,0.78,0.0992,0.465,99.052,2.48333,4,8
Viscera,Lamb to the Slaughter,33,0.5,0.958,-6,0,0.188,2.46e-05,0.127,0.388,0.174,119.967,2.305,4,8
Skating Polly,Hollywood Factory,30,0.605,0.722,-6,1,0.0517,0.47,0.000461,0.104,0.961,124.711,1.75053,4,1
Black Pumas,Colors,66,0.546,0.696,-7,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,2.46587,4,10
The Jesus and Mary Chain,April Skies,54,0.545,0.717,-7,1,0.036,0.00417,0.406,0.136,0.589,118.515,2.39621,4,10
Charlie Feathers,One Hand Loose,31,0.661,0.762,-10,1,0.038,0.792,3.38e-05,0.121,0.911,89.292,1.4448,4,10
Rochelle Jordan,Something,34,0.778,0.703,-6,0,0.0391,0.0193,4.21e-05,0.069,0.493,126.015,2.39516,3,6
Nasty Cherry,Win,49,0.778,0.552,-6,1,0.0367,0.00661,0.000607,0.0815,0.499,115.032,1.64203,4,1
Psymon Spine,Milk,34,0.765,0.476,-9,0,0.0969,0.213,0.0177,0.106,0.598,107.004,2.54461,4,6
Nothing,Blue Line Baby,36,0.5,0.687,-7,1,0.0393,0.00224,0.85,0.0639,0.17,164.622,2.70853,4,6
Alien Sex Fiend,I Walk The Line,36,0.564,0.804,-12,1,0.0733,0.0311,0.81,0.0463,0.397,123.716,2.916,4,10
Lush,Sweetness and Light,45,0.5,0.878,-8,1,0.0514,0.326,0.813,0.0967,0.34,109.903,3.17093,4,6
Paladin,The River Dragon Has Come,28,0.5,0.975,-5,1,0.0692,3.07e-05,0.00077,0.0443,0.265,139.91,3.05052,4,8
Death Valley Girls,Street Justice,25,0.5,0.948,-5,1,0.0522,8.85e-06,0.561,0.165,0.342,90.542,1.60587,4,1
The Cult,She Sells Sanctuary,69,0.55,0.765,-9,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,2.52533,4,6
Concha Piquer,Tatuaje,35,0.5,0.223,-9,0,0.138,0.995,0.0957,0.253,0.306,78.306,1.882,4,9
Arcade Fire,Wake Up,65,0.5,0.8,-5,1,0.0368,0.12,0.0538,0.118,0.29,139.361,3.35333,4,1
Ana Alcaide,Elenion,40,0.701,0.204,-18,0,0.0406,0.964,0.835,0.0985,0.27,104.983,4.314666667e-05,3,7
TDJ,Open Air,37,0.667,0.51,-11,1,0.0436,0.176,0.00283,0.0857,0.16,141.077,2.51555,4,1
elegant slims,Not Human,46,0.52,0.815,-5,0,0.0488,0.00172,1.92e-06,0.089,0.466,91.972,1.99387,4,10
Dire Straits,Money For Nothing,42,0.666,0.667,-10,0,0.0371,0.043,0.0005,0.074,0.679,134.219,8.51555e-05,4,10
The Faint,The Geeks Were Right,37,0.737,0.668,-7,0,0.0323,0.00405,6.04e-05,0.385,0.961,131.009,1.7624,4,6
Limp Bizkit,Take A Look Around,72,0.5,0.852,-6,1,0.046,0.0175,0.306,0.0935,0.512,101.968,3.2104,4,10
Freddie King,Going Down,59,0.565,0.526,-12,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,2.04333,4,2
Van Halen,Poundcake,39,0.5,0.948,-8,1,0.043,0.000662,0.102,0.0506,0.242,105.395,3.21707,4,8
The Who,Behind Blue Eyes,71,0.5,0.622,-9,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,2.21427,4,10
Caitlyn Smith,Cheap Date,54,0.587,0.299,-7,1,0.0327,0.853,2.11e-06,0.149,0.184,96.657,1.90067,3,9
Fickle Friends,Cosmic Coming of Age,46,0.603,0.674,-9,1,0.0591,0.139,3.41e-06,0.116,0.732,93.004,2.04259,4,6
bl00dwave,Blue,33,0.626,0.861,-8,0,0.0285,0.0114,0.562,0.101,0.501,110.014,1.46182,4,6
Johnny Winter,Third Degree,42,0.5,0.573,-13,1,0.0408,0.141,0.0279,0.111,0.824,205.057,3.956,3,2
Chapterhouse,Breather,37,0.5,0.94,-8,1,0.0629,0.000126,0.161,0.358,0.21,155.581,2.5876,4,6
Kaiser Chiefs,Oh My God,41,0.5,0.938,-5,1,0.0464,0.0052,5.18e-06,0.428,0.556,177.916,2.1488,4,1
LO,Ani Oogiot,3,0.559,0.463,-12,1,0.0257,0.201,0.00226,0.122,0.155,99.014,2.2952,4,6
MOSES,Cause You Got Me,46,0.5,0.805,-7,1,0.0293,0.000595,7.12e-05,0.0636,0.571,96.996,2.32526,4,10
Shreya Ghoshal,Mann Bheetar,19,0.616,0.547,-8,1,0.0342,0.739,0.0362,0.121,0.345,110.025,6.484166667e-05,4,0
Glass Animals,Tangerine,69,0.845,0.583,-6,0,0.0773,0.114,0.000536,0.1,0.842,149.941,2.00584,4,6
Bathtub Cig,My Friend,26,0.689,0.208,-16,1,0.0344,0.96,0.635,0.0933,0.194,96.052,2.20514,4,6
Yung Bleu,Ghetto Love Birds,57,0.604,0.522,-7,1,0.0924,0.734,0.000172,0.113,0.287,93.169,1.86039,4,5
George Strait,The Fireman,56,0.664,0.601,-14,1,0.0616,0.137,3.09e-05,0.0567,0.934,168.979,2.572666667e-05,4,4
Dead Pony,Speak of the Devil,32,0.5,0.777,-8,1,0.0494,0.000207,1.25e-05,0.105,0.361,76.027,2.15296,4,10
Lime Cordiale,On Our Own,57,0.705,0.692,-8,1,0.0303,0.00149,0.000193,0.137,0.772,125.933,2.16636,4,6
The Soft Cavalry,Dive,28,0.5,0.528,-11,1,0.0276,0.044,0.000243,0.0911,0.094,78,2.55385,4,6
Willie J Healey,Big Nothing,38,0.5,0.699,-7,1,0.0319,0.475,0.0065,0.221,0.716,190.384,1.42246,4,6
Suldusk,The Elm,38,0.601,0.439,-11,0,0.0253,0.43,0.00107,0.125,0.186,106.973,2.10834,4,8
Kurt Vile,Pretty Pimpin,63,0.566,0.663,-10,1,0.0278,0.0945,0.294,0.0915,0.762,91.108,2.9876,4,6
Yameii Online,Baby My Phone,70,0.5,0.666,-8,0,0.0415,0.176,0.229,0.0856,0.232,85.022,2.15771,4,9
Nikola Zolkiewska,Smoothness,55,0.5,0.164,-18,0,0.0438,0.958,0.899,0.112,0.211,49.196,2.5641e-05,3,7
Rod Stewart,The First Cut Is the Deepest,60,0.546,0.627,-10,1,0.0244,0.316,0.00114,0.096,0.764,81.278,4.52e-05,4,0
Jackie Hayes,eye 2 eye,48,0.638,0.666,-7,0,0.0392,0.00784,6.65e-05,0.314,0.651,131.962,1.85455,4,6
Jack Fruit,wrong but worth it,30,0.627,0.5,-10,0,0.046,0.0957,0.0385,0.522,0.353,120.025,1.78711,4,9
Phoria,Current,49,0.5,0.117,-22,0,0.0376,0.964,0.875,0.111,0.0447,78.533,3.50974,4,1
Elliott Ok,72,14,0.5,0.338,-11,1,0.0304,0.328,0.0319,0.099,0.188,135.75,2.22906,4,6
Swamp Dogg,Please Let Me Go Round Again,34,0.716,0.33,-14,1,0.046,0.193,2.94e-05,0.124,0.572,139.927,2.8084,4,6
The Pale White,Wisdom Tooth,29,0.5,0.884,-5,1,0.104,0.00408,0.000812,0.406,0.468,129.931,1.71107,4,10
Wallice,Hey Michael,60,0.759,0.636,-7,1,0.0473,0.0386,0.000117,0.643,0.921,120.019,1.79852,4,6
Johnny Cash,Big River,54,0.632,0.559,-11,1,0.0674,0.854,0.000103,0.127,0.884,182.942,1.51427,4,10
2 Chainz,Grey Area,70,0.897,0.767,-5,1,0.0959,0.0679,0.000364,0.129,0.675,134.913,1.71838,4,5
Faze Miyake,Stay Woke,2,0.655,0.438,-12,1,0.0433,0.012,0.648,0.222,0.557,148.018,1.74724,4,5
Jess Locke,Universe,28,0.653,0.543,-8,0,0.026,0.0852,5.37e-06,0.295,0.419,97.029,2.19753,4,6
Jeremy Zucker,emily,66,0.551,0.249,-12,1,0.06,0.68,0.0022,0.112,0.257,156.02,2.33747,3,9
Wild Pink,The Shining but Tropical,40,0.501,0.792,-8,1,0.0255,0.00708,0.00318,0.67,0.645,88.014,2.91613,4,1
Walter Wolfman Washington,Landslide,18,0.705,0.811,-6,0,0.133,0.27,0.0248,0.0233,0.549,97.938,3.13813,4,2
Armon,Hot Summer,8,0.5,0.648,-8,1,0.0375,0.37,0.432,0.27,0.36,82.436,3.49822,4,6
Long Distance Calling,Hazard,34,0.5,0.77,-8,1,0.0546,0.000483,0.445,0.0519,0.293,71.072,3.68973,4,8
The Jungle Giants,Treat You Right,56,0.664,0.759,-5,0,0.0428,0.0169,0.0025,0.179,0.771,160.023,2.21466,4,9
Beck,Dreams,59,0.582,0.938,-6,0,0.0392,0.000733,0.0202,0.0841,0.8,113.999,3.14487,4,6
Parker Millsap,Hades Pleads,48,0.568,0.632,-7,1,0.161,0.0245,0.000246,0.401,0.711,164.823,1.56107,4,10
Bruce Springsteen,Ghosts,58,0.532,0.736,-7,1,0.0383,0.000146,0.000961,0.292,0.656,125.105,3.54813,4,10
Braid,Killing A Camera,32,0.5,0.885,-7,0,0.0549,0.0014,2.11e-05,0.371,0.592,83.661,1.538,4,10
