Danceability,Artist Name,Track Name,Popularity,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,Liveness,valence,tempo,duration_in min/ms,time_signature,Genre
-5,The Ayoub Sisters,Mother's Pride,160000,0.095799999999999996,,11/12/1899,major,-0.0384,-8.44,0.855,62.6,-0.0296,80.672,3.503783333,4,Instrumental Music
0.516,Brandon Jack & The Artifacts,four days,290000,0.94799999999999995,2,28/12/1899,major,-0.0644,-0.279,0.0564,65,-0.0957,170.087,130329,4,Alt Music
-5,Moon Guitar,Struna,470000,0.24199999999999999,,16/12/1899,major,-0.0422,-9.41,0.93,66.5,-0.0431,81.09,2.817633333,4,Instrumental Music
0.661,Ivri Lider,נסיכה שלי,470000,0.40699999999999997,4,22/12/1899,major,-0.0412,-7.13,,61.5,-0.0337,127.873,216695,4,Pop Music
0.569,Vieux Farka Touré,Bonheur,370000,0.751,7,19/12/1899,major,-0.0418,-3.65,0.856,55.61,-0.0758,105.156,338292,4,Blues
-5,Kvelertak,Crack of Doom (feat. Troy Sanders),440000,0.97699999999999998,1,25/12/1899,minor,-0.124,-0.00016,0.892,60.5,-0.028,159.81,233929,4,Metal Music
0.615,Better Than Ezra,Good,630000,0.65700000000000003,7,25/12/1899,major,-0.029,-0.00372,0.0204,63.2,-0.0792,109.95,185093,4,Rock Music
-5,Lior Narkis,חלקת אלוהים - השיר של אופיר,440000,0.44400000000000001,,25/12/1899,major,-0.0316,-8.57,,64.1,-0.0236,107.915,174242,4,Pop Music
0.633,Silversun Pickups,Lazy Eye,650000,0.83099999999999996,4,26/12/1899,major,-0.0461,-0.401,0.693,61.7,-0.0243,127.397,354360,4,Rock Music
0.618,Lilly Wood and The Prick,A Song,,0.438,11,24/12/1899,major,-0.0762,-4.07,,100,-0.0651,155.014,209307,4,Indie Music
0.881,Orange Juice,Rip It Up,550000,0.54600000000000004,7,22/12/1899,major,-0.0407,-0.532,0.000149,54.97,-0.0852,102.814,320413,4,Indie Music
0.624,U2,The Blackout,490000,0.52800000000000002,9,22/12/1899,minor,-0.0344,-0.286,0.00516,58.66,-0.033,120.049,285933,4,Rock Music
0.607,Omer Adam,תגידי לי שטוב לך,370000,0.503,2,24/12/1899,major,-0.0703,-4.46,,67.3,-0.0473,135.606,205040,4,Pop Music
0.799,The Clash,The Magnificent Seven - Remastered,560000,0.78900000000000003,,23/12/1899,major,-0.0395,-0.595,,53.38,-0.0831,116.083,333520,4,Rock Music
-5,Victor Manu,Raphaela,470000,0.063399999999999998,2,12/12/1899,major,-0.044,-9.84,0.926,61,-0.015,78.227,3.014916667,4,Instrumental Music
0.52,The Last Shadow Puppets,Bad Habits,490000,0.64200000000000002,9,24/12/1899,major,-0.0434,-0.00517,0.0017,57.94,-0.0449,88.967,180968,4,Rock Music
0.595,Anne-Marie,Our Song,480000,0.75900000000000001,11,27/12/1899,minor,-0.0423,-1.41,,67.2,-0.0515,80.953,163733,4,Pop Music
0.523,How Lucky,"Kurt Vile, John Prine",,0.441,-6,22/12/1899,major,-0.0311,-4.65,0.00268,86.5,-0.049,171.246,3.385116667,4,Acoustic Folk
0.566,Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",280000,0.94299999999999995,,21/12/1899,major,-0.123,-0.0488,0.346,122.8,-0.0324,117.813,403027,4,Rock Music
0.612,Veruca Salt,Seether,470000,0.85999999999999999,8,22/12/1899,major,-0.044,-0.0253,0.00153,65.8,-0.0687,136.212,196467,4,Alt Music
0.63,Juice WRLD,Life's A Mess (feat. Halsey),770000,0.44600000000000001,1,23/12/1899,major,-0.0351,-3.37,,66.6,-0.0177,143.078,202193,4,Hip Hop Music
0.521,BENEE,C U,530000,0.53200000000000003,9,20/12/1899,minor,-0.0357,-5.63,0.000435,88.6,-0.0326,95.19,180533,4,Pop Music
0.501,Berry Sakharof,נפתלי הדג,180000,0.47399999999999998,2,18/12/1899,major,-0.0299,-6.08,0.885,64.7,-0.0281,102.404,352267,4,Rock Music
-5,Ganser,Self Service - Adam Faulkner / Girl Band Remix,90000,0.86499999999999999,9,21/12/1899,major,-0.0576,-0.00632,0.807,61.2,-0.00789,84.031,207465,3,Indie Music
0.532,Dion,Blues Comin’ On,340000,0.68500000000000005,4,25/12/1899,minor,-0.0318,-0.208,0.000154,80.3,-0.0648,140.036,288071,4,Blues
-5,Nick Cave & The Bad Seeds,Deanna,410000,0.93999999999999995,,27/12/1899,major,-0.0889,-0.049,,64.4,-0.0439,134.392,225627,4,Alt Music
-5,Soen,Lotus,490000,0.40300000000000002,4,22/12/1899,minor,-0.0273,-0.792,0.0049,61.3,-0.0135,155.761,323931,4,Rock Music
-5,Vani Jairam,Bole Re Papihara,200000,0.70699999999999996,1,22/12/1899,minor,-0.0562,-6.68,3.68e-05,86.1,-0.075,89.1,3.578883333,4,Bollywood Music
-5,Liam Gallagher,Once,590000,0.64600000000000002,6,28/12/1899,major,-0.0372,-0.904,,61.4,-0.0271,120.755,213677,4,Rock Music
-5,The Pretty Things,She's a Lover,380000,0.79500000000000004,2,22/12/1899,major,-0.0314,-0.0407,0.00114,79.6,-0.0789,84.846,212067,4,Indie Music
0.827,Tha Dogg Pound,"New York, New York",560000,0.53200000000000003,2,27/12/1899,major,-0.302,-0.219,2.91e-05,62.7,-0.0694,87.257,290440,4,Hip Hop Music
0.709,BLAB,Casual Sex,260000,0.68500000000000005,2,24/12/1899,major,-0.0281,-0.355,0.0268,53.89,-0.07,129.987,194567,4,Alt Music
0.583,Mighty Sam McClain,When the Hurt Is Over,410000,0.14299999999999999,,16/12/1899,major,-0.148,-6.76,2.84e-05,61.7,-0.0533,156.009,371496,3,Blues
0.704,Trillary Banks,Last Man Standing,350000,0.57899999999999996,6,22/12/1899,major,-0.418,-2.87,,63.9,-0.0712,142.815,176667,4,Hip Hop Music
-5,El Goodo,Feel so Fine,300000,0.88,2,28/12/1899,major,-0.097,-0.000201,0.309,62.2,-0.0333,134.445,237493,4,Rock Music
0.801,Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],540000,0.63700000000000001,,25/12/1899,major,-0.0565,-1.69,3.75e-05,59.25,-0.0769,77.012,218360,4,Blues
0.539,Why Bonnie,Athlete,240000,0.57799999999999996,4,23/12/1899,major,-0.0278,-0.987,0.000923,78,-0.0353,102.03,191890,4,Rock Music
0.907,Snoop Dogg,Beautiful,630000,0.69499999999999995,11,25/12/1899,minor,-0.135,-2.46,,58.08,-0.0961,101.007,298307,4,Hip Hop Music
0.667,MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),680000,0.63600000000000001,8,26/12/1899,major,-0.082,-0.22,,59.08,-0.0152,158.058,151891,4,Rock Music
-5,Turbo Knight,Rasengan,430000,0.94399999999999995,10,24/12/1899,major,-0.0398,-0.035,0.972,60.5,-0.0588,110.002,307545,4,Indie Music
-5,The Black Crowes,Sometimes Salvation,410000,0.66200000000000003,4,27/12/1899,major,-0.034,-0.0261,,55.94,-0.0362,148.34,284000,3,Rock Music
0.777,"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),410000,0.70999999999999996,,27/12/1899,major,-0.0919,-0.295,,69.2,-0.0673,129.945,4.747333333,4,Pop Music
0.54,Radiohead,Burn the Witch,570000,0.84699999999999998,11,25/12/1899,major,-0.0297,-3.03,0.272,60.9,-0.062,148.936,220609,4,Rock Music
-5,Oceans,Shark Tooth,420000,0.88900000000000001,11,25/12/1899,minor,-0.0474,-0.000238,0.000872,137,-0.0344,93.896,198345,4,Metal Music
-5,Arctic Monkeys,R U Mine?,790000,0.75800000000000001,6,26/12/1899,minor,-0.0371,-0.0616,,80.3,-0.0619,97.094,201726,4,Rock Music
0.562,The Stranglers,Golden Brown,710000,0.38300000000000001,6,16/12/1899,major,-0.0304,-1.43,0.124,63.8,-0.0599,93.764,206760,3,Rock Music
0.683,Itay Levi,השקט של שבת,330000,0.34699999999999998,1,21/12/1899,major,-0.0473,-5.49,,59.07,-0.0437,80.009,157630,4,Pop Music
-5,Joe Bonamassa,Cradle Rock,440000,0.91000000000000003,2,27/12/1899,major,-0.0392,-0.00243,0.00082,59.31,-0.0613,106.675,230027,4,Rock Music
-5,LeRoi Thirteen,Stand up and Shout (Cover),410000,0.97399999999999998,8,27/12/1899,major,-0.115,-0.00546,0.225,83.6,-0.0257,108.946,229617,4,Metal Music
-5,Us The Duo,drivers license,550000,0.34999999999999998,10,20/12/1899,major,-0.176,-8.43,,68.8,-0.0129,74.464,3.81156667,-5,Acoustic Folk
0.633,Keller Williams,Right Here,430000,0.19400000000000001,8,17/12/1899,major,-0.0729,-8.85,0.404,61.1,-0.0421,143.376,348383,4,Blues
0.523,Primal Scream,Movin' on Up,630000,0.76000000000000001,-6,19/12/1899,major,-0.0325,-1.03,0.00068,56.66,-0.0581,94.267,228267,4,Rock Music
0.593,Lil Son Jackson,Upstairs Boogie,350000,0.438,10,18/12/1899,minor,-0.028,-8.83,0.0167,81.7,-0.0758,130.225,136560,3,Blues
0.809,Drake,Passionfruit,810000,0.46300000000000002,11,20/12/1899,major,-0.0396,-2.56,0.085,60.9,-0.0364,111.98,4.98235,4,Pop Music
0.748,Abstract Orchestra,New Day,450000,0.41099999999999998,8,25/12/1899,minor,-0.0489,-0.532,0.0117,61.5,-0.0339,91.941,145052,4,Hip Hop Music
0.529,Luther Allison,Soul Fixin' Man,130000,0.59499999999999997,2,18/12/1899,major,-0.0375,-0.227,0.0266,53.26,-0.0767,134.642,187827,4,Blues
-5,Elena Falwell,Elegi For Cello,410000,0.14799999999999999,,12/12/1899,major,-0.0347,-9.55,0.897,61.1,-0.004,76.412,2.7204,3,Instrumental Music
0.543,Sharon Van Etten,Comeback Kid,510000,0.92700000000000005,,26/12/1899,major,-0.0755,-0.00342,0.543,53.27,-0.0354,120.097,182333,4,Rock Music
0.644,beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",410000,0.89100000000000001,2,26/12/1899,major,-0.0526,-0.0111,0.00798,61.8,-0.0504,110.007,239488,4,Rock Music
-5,R.E.M.,Drive,620000,0.432,7,20/12/1899,major,-0.0283,-1.75,0.001,72.6,-0.0238,142.642,271333,4,Rock Music
0.514,FCG Heem,Shinin,440000,0.38700000000000001,6,20/12/1899,minor,-0.409,-0.753,,54.85,-0.0461,84.112,186812,4,Hip Hop Music
-5,The Beatles,She's Leaving Home - Remastered,,0.214,4,20/12/1899,major,-0.0337,-9.44,,60.6,-0.0393,127.581,3.586,3,Acoustic Folk
0.762,Tom The Mail Man,Taking Over,600000,0.51600000000000001,-6,23/12/1899,minor,-0.0969,-0.288,,59.66,-0.0721,156.97,158000,4,Hip Hop Music
-5,ANSON,Ghost,280000,0.94299999999999995,4,25/12/1899,minor,-0.101,-0.00547,,64.5,-0.0482,147.217,209682,4,Rock Music
0.576,Jimmy Eat World,All The Way (Stay),380000,0.93100000000000005,7,29/12/1899,major,-0.0563,-0.0085,,64.3,-0.0735,133.986,245747,4,Rock Music
0.61,dempsey hope,picture perfect,30000,0.48199999999999998,-6,22/12/1899,major,-0.137,-2.99,,55.27,-0.0869,73.628,147013,4,Pop Music
-5,Howie Lee,Birdy Island,240000,0.504,4,18/12/1899,minor,-0.0566,-6.25,0.794,72.2,-0.0145,159.911,258771,4,Indie Music
-5,Pit Pony,Dutch Courage,250000,0.91600000000000004,1,28/12/1899,major,-0.0723,-0.000139,0.0992,71.9,-0.0423,151.886,270205,4,Alt Music
0.86,Niko B,Who's That What's That,630000,0.66800000000000004,7,23/12/1899,major,-0.221,-4.23,1.85e-06,59.6,-0.0237,128.096,240000,4,Pop Music
0.766,Ruthi Navon,חשמל בכפות ידיך,220000,0.52600000000000002,10,20/12/1899,major,-0.0392,-7.84,0.000214,58.79,-0.0934,141.631,238000,4,Rock Music
0.529,Dan + Shay,Good Things,710000,0.621,11,25/12/1899,major,-0.0296,-1.3,,67.3,-0.0617,97.189,2.48178333,4,Pop Music
0.697,Gossip,Standing In the Way of Control,550000,0.91900000000000004,7,25/12/1899,major,-0.029,-0.0694,0.0621,70.3,-0.0943,118.341,256400,4,Indie Music
-5,Gone Is Gone,Breaks,280000,0.93200000000000005,11,25/12/1899,major,-0.113,-0.0363,0.346,72.9,-0.0173,102.954,235214,4,Metal Music
0.564,Violent Soho,Covered in Chrome,550000,0.753,-6,26/12/1899,major,-0.0433,-0.0512,2.43e-06,66.7,-0.0414,152.064,212547,4,Rock Music
0.744,Mr. Oizo,Positif,440000,0.92800000000000005,10,26/12/1899,minor,-0.0495,-0.00409,0.624,63.2,-0.0507,123.014,171120,4,Indie Music
0.539,Cage The Elephant,Skin and Bones,650000,0.78800000000000003,9,28/12/1899,minor,-0.0396,-0.089,,79,-0.0357,159.986,196173,4,Rock Music
-5,Carusella,Star Quality,110000,0.96699999999999997,1,27/12/1899,major,-0.114,-0.0159,0.0064,64.2,-0.0179,146.623,269440,4,Indie Music
0.545,Faith No More,Falling to Pieces,,0.91900000000000004,2,24/12/1899,major,-0.0483,-0.0269,0.00512,59.78,-0.0386,104.364,313573,4,Rock Music
-5,FLO,D's,660000,0.29399999999999998,7,20/12/1899,minor,-0.0291,-7.71,0.697,60.7,-0.00397,137.941,811077,3,Pop Music
0.645,Pathiena,The Deepest Of Sorrow,400000,0.32900000000000001,2,15/12/1899,major,-0.0419,-2.39,0.892,87.5,-0.0184,128.099,3.545833333,4,Acoustic Folk
0.508,The Offspring,Coming for You,590000,0.91200000000000003,,30/12/1899,major,-0.0827,-0.000975,1.25e-06,56.69,-0.0533,139.381,228587,4,Rock Music
0.579,Pain of Salvation,Meaningless,420000,0.66100000000000003,7,27/12/1899,major,-0.0422,-0.675,0.000373,80.3,-0.0374,144.909,287467,3,Rock Music
0.521,Lenny Kravitz,Stand By My Woman,,0.52700000000000002,2,25/12/1899,major,-0.0296,-0.931,0.0244,60.6,-0.0273,122.271,259627,4,Rock Music
-5,Black Sabbath,Paranoid,160000,0.61899999999999999,4,20/12/1899,minor,-0.0722,-0.000844,0.00239,67,-0.0382,162.721,2.80733333,4,Rock Music
-5,The Dark Element,Songs the Night Sings,470000,0.85399999999999998,3,23/12/1899,major,-0.0431,-0.000462,0.016,74.6,-0.0408,152.142,309827,4,Metal Music
0.698,Henry Gray,Let's Get High,190000,0.60899999999999999,,25/12/1899,major,-0.0485,-7.43,,68.8,-0.0665,131.057,232413,4,Blues
0.54,Eyal Golan,טעיתי,380000,0.42499999999999999,-6,22/12/1899,minor,-0.0518,-4.28,,71.8,-0.0239,88.047,220543,4,Pop Music
0.691,Noah Kahan,Young Blood - Acoustic,590000,0.23100000000000001,11,21/12/1899,major,-0.0471,-8.15,,60.3,-0.0298,85.153,3.34355,4,Acoustic Folk
0.58,The First Edition,Just Dropped In (To See What Condition My Condition Was In),570000,0.55100000000000005,9,22/12/1899,minor,-0.0582,-1.81,0.00719,65,-0.0516,115.896,201213,4,Rock Music
0.565,Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,420000,0.754,8,20/12/1899,minor,-0.0344,-6.78,0.0442,57.56,-0.0922,135.01,6.05555,3,Bollywood Music
0.616,Bryan Adams,I Think About You,430000,0.55100000000000005,7,24/12/1899,major,-0.0249,-1.55,,59.9,-0.0618,75.027,216373,4,Rock Music
0.546,The Shins,Simple Song,620000,0.878,7,26/12/1899,major,-0.0525,-0.133,,63.5,-0.035,119.945,255400,4,Alt Music
0.618,benny blanco,Care (with Omar Apollo),500000,0.215,2,19/12/1899,major,-0.04,-7.59,0.00962,60.9,-0.0214,90.004,290466,4,Alt Music
0.639,The 1975,She's American,570000,0.85899999999999999,1,28/12/1899,major,-0.0554,-1.8,0.000499,57.98,-0.0523,115.97,270104,4,Rock Music
0.577,Winger,Seventeen,600000,0.67600000000000005,8,20/12/1899,major,-0.0295,-0.00895,2.29e-06,56.25,-0.0676,95.98,245267,4,Metal Music
0.551,Townes Van Zandt,Waitin' Around To Die,520000,0.23300000000000001,6,13/12/1899,minor,-0.0312,-7.1,0.000949,61,-0.0659,89.574,165187,4,Indie Music
-5,Piers Faccini,Bring Down The Wall,280000,0.38700000000000001,2,21/12/1899,minor,-0.0417,-4.06,0.00099,57.83,-0.0686,97.995,205533,4,Rock Music
0.632,Athletic Progression,Stepney Tale,370000,0.80000000000000004,-6,24/12/1899,minor,-0.234,-5.47,,64.7,-0.0496,92.757,209833,4,Hip Hop Music
-5,Thirty Seconds To Mars,Dangerous Night,560000,0.71499999999999997,2,25/12/1899,major,-0.0709,-0.0212,1.55e-06,74.2,-0.0242,86.937,199773,4,Rock Music
0.77,Pete Rock & C.L. Smooth,Straighten It Out,500000,0.65600000000000003,10,20/12/1899,minor,-0.246,-1.1,,57.93,-0.0788,98.82,253413,4,Hip Hop Music
0.717,Peter Case,Bumble Bee,450000,0.245,7,21/12/1899,minor,-0.0493,-6.65,0.000119,88.5,-0.0502,83.554,214933,4,Blues
0.778,Menahan Street Band,Queens Highway,500000,0.39900000000000002,1,23/12/1899,major,-0.0858,-0.751,0.835,60.3,-0.0321,137.305,67720,4,Alt Music
-5,Butcher Babies,Sleeping with the Enemy,480000,0.95099999999999996,7,26/12/1899,minor,-0.0736,-0.000463,0.233,85.1,-0.0461,165.088,212927,4,Metal Music
-5,MICROCORPS,DOR,100000,0.77600000000000002,3,20/12/1899,minor,-0.0587,-0.518,0.703,61,-0.0609,177.953,331304,4,Indie Music
0.617,Sarah Palu,Ikivirta,380000,0.375,-6,20/12/1899,minor,-0.0319,-7.42,0.513,60.9,-0.0117,151.983,387547,4,Alt Music
0.565,Saltatio Mortis,Kaufmann und Maid,540000,0.76800000000000002,2,26/12/1899,minor,-0.0382,-0.277,,57.25,-0.058,124.006,223907,4,Metal Music
0.62,JADHU,Fling,320000,0.83499999999999996,9,25/12/1899,minor,-0.0319,-2.73,0.00339,61.3,-0.0699,99.022,225072,4,Pop Music
0.589,Bring Me The Horizon,Parasite Eve,690000,0.79700000000000004,9,26/12/1899,major,-0.15,-0.289,4.35e-06,88.3,-0.0232,102.489,291813,4,Rock Music
-5,Frost*,Day and Age - Edit,380000,0.85799999999999998,8,25/12/1899,major,-0.0378,-0.00843,0.00243,68,-0.034,169.951,301533,4,Metal Music
0.605,Toto Espinoza,Frida Kahlo,410000,0.16200000000000001,4,19/12/1899,minor,-0.0353,-9.8,0.899,60.4,-0.0126,95.576,5.735216667,3,Instrumental Music
0.624,T-Bone Walker,Evil Hearted Woman - Alternate Take,300000,0.26000000000000001,1,20/12/1899,major,-0.0621,-9.04,0.0263,58.25,-0.0551,51,156933,4,Blues
0.513,K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,70000,0.65800000000000003,6,24/12/1899,minor,-0.0622,-5.12,,71,-0.0698,145.896,3.181333333,4,Bollywood Music
0.533,Jimi Hendrix,Purple Haze,710000,0.90500000000000003,2,26/12/1899,major,-0.0754,-0.0876,0.578,56.98,-0.0486,108.9,2.84688333,4,Rock Music
0.588,Eskiz,Aborjinin Türküsü,210000,0.747,7,25/12/1899,major,-0.0498,-1.16,7.2e-05,74.4,-0.0263,138.067,249000,4,Rock Music
-5,Lowest Creature,Reapers Fool,230000,0.97499999999999998,11,27/12/1899,major,-0.105,-0.000747,0.0183,70.1,-0.0526,139.964,202019,4,Metal Music
0.621,Tomer Yeshayahu,בלי לעזוב,300000,0.375,-6,20/12/1899,major,-0.0297,-7.01,1.2e-06,62.2,-0.0508,132.611,219625,4,Pop Music
-5,Neon Trees,Animal,660000,0.82899999999999996,-6,26/12/1899,major,-0.0437,-0.0034,,87.8,-0.0739,147.99,212307,4,Rock Music
-5,JJ Lin,Bedroom (feat. Anne-Marie),690000,0.42399999999999999,7,26/12/1899,major,-0.0318,-6.4,,68.4,-0.0181,179.597,203991,4,Pop Music
0.552,Foreign Air,Monsters,500000,0.67300000000000004,9,27/12/1899,minor,-0.0298,-0.0553,,61.4,-0.0174,89.993,224053,4,Indie Music
0.548,S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,340000,0.34699999999999998,7,17/12/1899,minor,-0.0362,-7.71,0.00175,62.4,-0.0498,117.75,6.90355,4,Bollywood Music
-5,Scary Kids Scaring Kids,Holding On,490000,0.93500000000000005,8,26/12/1899,minor,-0.0697,-0.00442,0.000212,60,-0.0455,165.02,261240,4,Rock Music
0.524,Lawrence of Arcadia,David Keenan,300000,0.33600000000000002,2,23/12/1899,major,-0.0415,-8.41,0.00118,61.1,-0.0458,110.964,4.757883333,5,Acoustic Folk
-5,Nirvana,In Bloom,650000,0.876,10,27/12/1899,minor,-0.0647,-0.000333,0.000104,70.5,-0.0512,157.044,255080,4,Alt Music
0.5,Berry Sakharof,77' - Acoustic Live,170000,0.46999999999999997,,24/12/1899,major,-0.0345,-6.42,0.0511,77.6,-0.0346,158.809,268400,4,Rock Music
